,Nests,Total No. False Crawls,Hit Rocks,Hatched Nests
,,,,
8/10/19,2,0,,
9/10/19,0,0,,
10/10/19,0,0,,
11/10/19,0,0,,
14/10/19,1,3,,
16/10/19,0,3,,
18/10/19,0,0,,
21/10/19,7,5,1,
22/10/19,0,0,,
23/10/19,0,0,,
24/10/19,6,4,1,
25/10/19,4,4,,
26/10/19,6,4,,
27/10/19,1,0,,
28/10/19,0,1,1,
29/10/19,0,0,,
30/10/19,0,0,,
31/10/19,7,16,,
1/11/19,0,4,2,
2/11/19,0,0,,
3/11/19,0,0,,
4/11/19,0,0,,
5/11/19,5,1,,1
6/11/19,0,0,,
7/11/19,1,0,,
8/11/19,2,0,,
9/11/19,1,0,,
10/11/19,0,0,,
11/11/19,1,2,,
12/11/19,9,12,2,
13/11/19,3,4,1,
14/11/19,1,1,1,
15/11/19,6,11,,
16/11/19,0,0,,
17/11/19,0,0,,
18/11/19,7,8,1,
19/11/19,0,3,2,
20/11/19,14,23,6,
21/11/19,12,21,3,
22/11/19,6,8,2,
23/11/19,5,5,,
24/11/19,17,15,5,
25/11/19,10,8,2,
26/11/19,8,5,1,
27/11/19,1,0,,
28/11/19,12,13,2,
29/11/19,13,10,2,
30/11/19,21,13,5,1
1/12/19,0,0,,1
2/12/19,0,0,,2
3/12/19,1,3,1,2
4/12/19,3,7,2,4
5/12/19,15,26,4,0
6/12/19,10,18,3,2
7/12/19,25,13,7,2
8/12/19,1,3,,4
9/12/19,4,4,1,1
10/12/19,8,7,1,3
11/12/19,3,3,1,4
12/12/19,2,7,3,6
13/12/19,0,2,,9
14/12/19,3,2,,10
15/12/19,0,0,,8
16/12/19,5,15,1,7
17/12/19,3,1,1,4
18/12/19,18,13,2,13
19/12/19,3,14,,7
20/12/19,,4,,5
21/12/19,9,3,,9
22/12/19,8,3,1,10
23/12/19,6,5,1,8
24/12/19,8,5,2,11
25/12/19,5,12,1,16
26/12/19,4,25,3,4
27/12/19,10,11,4,12
28/12/19,12,13,4,10
29/12/19,9,4,1,8
30/12/19,5,6,2,8
31/1/19,7,3,,10
1/1/20,4,2,,5
2/1/20,1,0,,8
3/1/20,1,1,,7
4/1/20,0,0,,11
5/1/20,1,0,,8
6/1/20,1,0,,6
7/1/20,2,0,,2
8/1/20,2,0,,5
9/1/20,4,1,1,4
10/1/20,5,1,,4
11/1/20,0,1,1,9
12/1/20,1,1,,6
13/1/20,1,0,,8
14/1/20,1,0,,1
15/1/20,1,0,,1
16/1/20,0,0,,0
17/1/20,0,3,1,0
18/1/20,1,1,,0
19/1/20,0,0,,0
20/1/20,0,0,,0
21/1/20,0,1,,9
22/1/20,3,0,,0
23/1/20,3,1,,0
24/1/20,0,0,,0
25/1/20,0,0,,0
26/1/20,1,1,,0
27/1/20,0,0,,0
28/1/20,0,0,,0
29/1/20,1,0,,0
30/1/20,0,0,,0
31/1/20,0,0,,0
1/2/20,0,0,0,0
2/2/20,0,0,0,0
3/2/20,0,0,0,0
4/2/20,0,0,0,0
5/2/20,0,0,0,0
6/2/20,0,0,0,0
7/2/20,0,0,0,0
8/2/20,0,0,0,0
9/2/20,0,0,0,0
10/2/20,0,0,0,0
11/2/20,0,0,0,0
12/2/20,0,0,0,0
13/2/20,0,0,0,0
14/2/20,0,0,0,0
15/2/20,0,0,0,0
16/2/20,0,0,0,0
17/2/20,0,0,0,0
18/2/20,0,0,0,0
19/2/20,0,0,0,0
20/2/20,0,0,0,0
21/2/20,0,0,0,0
22/2/20,0,0,0,0
23/2/20,0,0,0,0
24/2/20,0,0,0,0
25/2/20,0,0,0,0
26/2/20,0,0,0,0
27/2/20,0,0,0,0
28/2/20,0,0,0,0
29/2/20,0,0,0,0
